GeneID	GSM2440320	GSM2440321	GSM2440322	GSM2440323	GSM2440324	GSM2440325	GSM2440326	GSM2440327	GSM2440328	GSM2440329	GSM2440330	GSM2440331
100287102	16	5	25	62	35	11	53	54	28	16	76	29
653635	4076	2402	2358	7396	3657	1265	6337	4476	2836	2071	3840	1740
102466751	98	53	50	88	121	39	71	47	62	57	12	13
107985730	1	1	1	1	7	1	1	1	2	0	1	0
100302278	0	0	0	0	1	0	0	0	0	0	0	0
645520	0	0	0	0	2	2	2	1	4	0	1	1
79501	0	0	0	0	0	0	0	0	0	0	0	0
100996442	7	18	6	16	39	20	49	28	20	16	4	8
729737	444	308	1229	2165	1285	205	1704	905	1920	525	329	297
102725121	3	1	1	22	1	1	21	4	3	4	0	0
102723897	4457	2587	2802	7395	3934	1199	6302	3994	3261	2839	3396	1891
102465909	51	36	41	34	77	23	55	27	47	30	4	2
107985721	2	0	0	8	2	2	2	1	1	1	4	0
112268260	9	10	8	8	15	15	32	38	31	8	1	4
729759	0	0	0	0	0	0	0	0	0	0	0	0
100132287	554	351	521	1032	1802	309	2061	493	1089	618	75	162
105378947	2	1	1	0	4	3	0	5	7	0	0	0
101928626	0	0	1	0	0	0	0	0	0	0	1	0
113219467	43494	3002	1783	44699	12804	9585	2254	14048	18556	2471	11641	1861
81399	0	2	0	0	1	0	0	0	2	0	0	0
100133331	511	322	418	971	1824	329	1811	406	852	576	103	166
107984841	12	18	8	7	83	20	9	31	62	34	4	3
107984847	28	38	7	12	122	29	9	61	130	95	6	6
107984849	1	3	3	3	22	1	5	2	4	8	0	0
100288069	6	12	3	7	29	9	9	9	8	11	6	4
105378580	4	7	2	1	22	3	8	10	12	16	0	2
400728	0	6	2	0	8	1	1	2	10	4	0	0
79854	99	41	49	91	292	34	119	50	194	126	10	10
643837	165	147	124	133	244	388	113	217	699	261	24	69
107984850	15	5	14	4	14	0	14	40	252	0	8	12
284593	0	0	2	2	0	0	2	0	12	0	0	1
284600	115	56	10	19	91	1	23	478	1017	695	19	25
100130417	33	31	25	92	364	70	20	78	16	31	80	74
107985728	2	11	0	1	79	12	0	1	0	2	2	2
148398	1063	438	753	1464	1963	425	1273	1260	2038	1314	3100	1150
26155	3592	2301	3335	3672	6622	2248	3761	5242	12966	5566	4023	2012
339451	658	348	298	726	1002	336	518	573	1056	781	86	310
84069	296	47	222	639	446	12	389	731	752	642	940	430
84808	99	8	64	308	135	14	157	220	152	171	277	170
57801	938	379	255	656	935	1047	357	682	3346	608	92	206
9636	1549	972	970	2221	2852	4232	2629	1082	19282	2017	938	2811
375790	4513	2402	3137	5722	9759	1999	5435	6917	7951	10302	1643	2484
100288175	53	24	31	186	123	4	49	38	70	158	7	19
112267874	56	23	57	411	184	1	60	67	96	90	8	30
105378948	113	79	56	304	322	8	81	58	147	297	13	24
401934	61	33	62	430	228	0	83	137	253	175	15	53
54991	1288	650	624	1881	2275	470	2050	1165	2106	1802	865	1002
254099	39	24	62	228	86	1	244	65	132	120	108	63
406984	11	21	3	4	91	0	15	4	3	3	6	1
406983	13	39	15	7	161	0	24	17	10	20	11	1
554210	170	109	91	95	433	0	171	79	123	149	11	14
100506376	7	8	2	15	18	0	8	24	5	12	2	4
254173	53	29	6	95	65	1	63	140	13	89	7	2
8784	123	154	44	85	247	48	171	264	196	85	66	346
7293	182	168	53	128	257	48	193	224	343	64	152	259
51150	6344	4171	2748	5897	10178	5634	6431	5804	14392	8084	2273	2655
126792	958	681	456	1069	1328	601	965	1617	1293	713	706	643
388581	168	329	25	327	211	75	33	413	88	86	38	298
118424	2411	1297	1288	2587	2715	1889	2043	2880	5139	2263	1687	1378
101928895	10	10	5	7	45	117	8	21	33	19	18	19
6339	119	62	98	79	203	442	119	113	133	68	83	93
116983	2314	1388	1132	3948	3337	2727	2230	1701	6665	2325	1886	1246
102465434	1	1	1	1	1	1	1	0	5	1	0	0
109623456	1	4	3	0	7	12	1	3	6	2	1	1
126789	1048	589	435	1583	1594	474	1215	1369	2366	1264	1825	914
54973	4317	2328	3211	7941	6716	4386	11076	5635	9022	5512	4926	2754
102465435	8	8	16	13	22	6	21	12	31	9	4	11
80772	1286	865	542	1511	1431	684	1296	1512	5585	1510	947	894
83756	140	71	91	365	311	77	463	168	1551	75	117	201
1855	2958	1740	1950	4131	5542	2690	3894	3742	7521	3676	1634	1795
102466740	2	1	2	2	11	3	2	1	13	2	1	0
54587	947	991	1471	912	5875	4244	512	1094	1130	544	647	349
54998	5819	3156	3065	7537	6685	4020	4750	8184	20689	8679	13957	6106
81669	11712	5646	8434	15273	20998	6259	17983	6459	11877	8941	795	2769
148413	1010	833	829	978	1362	636	1024	1429	2395	1718	996	837
55052	3180	2184	2105	3391	3216	3411	2917	5170	10222	4624	1722	2028
107984868	1	1	0	3	1	2	0	0	0	0	0	0
441869	35	50	20	6	73	433	5	36	23	16	1	15
105378585	14	5	6	17	21	80	3	5	2	8	0	2
643965	1	1	0	1	3	2	1	2	0	0	0	1
102724312	121	27	240	100	180	424	29	369	39	940	61	309
107985729	8	6	25	5	35	118	4	34	11	96	7	11
